"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
34,"1997-01-10","CHI","@","MIL","W",1,"38:00",11,23,0.48,3,4,0.75,8,13,0.62,1,4,5,3,0,0,0,2,33,22.5,"Michael Jordan","Regular Season"
35,"1997-01-11","CHI","","HOU","W",1,"39:00",12,25,0.48,4,6,0.67,4,4,1,0,6,6,7,2,0,3,1,32,24.6,"Michael Jordan","Regular Season"
36,"1997-01-14","CHI","","WSB","W",1,"40:00",14,27,0.52,0,4,0,11,11,1,0,2,2,2,2,0,0,3,39,28.5,"Michael Jordan","Regular Season"
37,"1997-01-15","CHI","@","MIN","W",1,"35:00",12,22,0.55,1,5,0.2,0,0,NA,1,2,3,4,1,1,3,2,25,16.4,"Michael Jordan","Regular Season"
38,"1997-01-17","CHI","","MIL","W",1,"36:00",10,15,0.67,1,2,0.5,3,4,0.75,1,6,7,11,2,0,1,2,24,27.5,"Michael Jordan","Regular Season"
39,"1997-01-19","CHI","@","HOU","L",1,"43:00",8,25,0.32,1,6,0.17,9,9,1,3,11,14,5,1,1,1,0,26,21.3,"Michael Jordan","Regular Season"
40,"1997-01-21","CHI","","NYK","W",1,"43:00",18,30,0.6,5,8,0.62,10,11,0.91,1,3,4,4,2,0,2,1,51,NA,"Michael Jordan","Regular Season"
41,"1997-01-23","CHI","@","CLE","W",1,"39:00",10,24,0.42,1,5,0.2,11,12,0.92,1,8,9,0,1,0,4,2,32,18.1,"Michael Jordan","Regular Season"
42,"1997-01-25","CHI","","TOR","W",1,"31:00",10,16,0.62,3,4,0.75,1,2,0.5,1,2,3,4,2,0,0,1,24,22.1,"Michael Jordan","Regular Season"
43,"1997-01-28","CHI","@","VAN","W",1,"32:00",12,19,0.63,1,3,0.33,3,4,0.75,1,3,4,3,4,0,2,1,28,24.4,"Michael Jordan","Regular Season"
44,"1997-01-30","CHI","@","SAC","W",1,"40:00",11,19,0.58,1,5,0.2,9,10,0.9,0,6,6,2,3,0,2,3,32,25.7,"Michael Jordan","Regular Season"
45,"1997-01-31","CHI","@","GSW","W",1,"32:00",8,17,0.47,1,6,0.17,1,1,1,0,4,4,8,3,0,2,2,18,16.3,"Michael Jordan","Regular Season"
46,"1997-02-02","CHI","@","SEA","W",1,"45:00",19,28,0.68,2,3,0.67,5,6,0.83,3,4,7,3,1,0,1,2,45,NA,"Michael Jordan","Regular Season"
47,"1997-02-04","CHI","@","POR","W",1,"41:00",15,30,0.5,1,4,0.25,5,5,1,1,4,5,2,1,2,0,3,36,25.5,"Michael Jordan","Regular Season"
48,"1997-02-05","CHI","@","LAL","L",1,"40:00",10,24,0.42,2,5,0.4,5,6,0.83,1,3,4,4,1,1,2,1,27,17.5,"Michael Jordan","Regular Season"
49,"1997-02-11","CHI","","CHH","W",1,"42:00",16,24,0.67,1,2,0.5,10,14,0.71,0,5,5,4,3,0,5,2,43,32.5,"Michael Jordan","Regular Season"
50,"1997-02-14","CHI","@","ATL","W",1,"45:00",13,28,0.46,1,2,0.5,3,5,0.6,3,5,8,4,2,0,4,0,30,19.2,"Michael Jordan","Regular Season"
51,"1997-02-16","CHI","","ORL","W",1,"38:00",8,20,0.4,3,4,0.75,0,0,NA,1,7,8,10,4,0,2,3,19,18.8,"Michael Jordan","Regular Season"
52,"1997-02-18","CHI","","DEN","W",1,"32:00",10,18,0.56,1,3,0.33,3,4,0.75,2,3,5,12,3,0,0,3,24,27.5,"Michael Jordan","Regular Season"
53,"1997-02-21","CHI","@","WSB","W",1,"45:00",13,28,0.46,3,4,0.75,7,12,0.58,1,3,4,4,1,0,2,2,36,22.2,"Michael Jordan","Regular Season"
54,"1997-02-22","CHI","","GSW","W",1,"31:00",13,19,0.68,5,8,0.62,3,4,0.75,1,4,5,1,3,0,2,1,34,28.7,"Michael Jordan","Regular Season"
55,"1997-02-24","CHI","","POR","W",1,"30:00",13,27,0.48,3,7,0.43,8,9,0.89,1,3,4,3,0,0,1,1,37,25.2,"Michael Jordan","Regular Season"
56,"1997-02-27","CHI","@","CLE","L",1,"43:00",7,25,0.28,0,3,0,9,9,1,1,7,8,4,0,0,2,2,23,11.1,"Michael Jordan","Regular Season"
57,"1997-02-28","CHI","","SAC","W",1,"35:00",13,20,0.65,5,7,0.71,4,5,0.8,1,8,9,6,1,1,2,2,35,NA,"Michael Jordan","Regular Season"
58,"1997-03-03","CHI","","MIL","W",1,"36:00",11,19,0.58,3,7,0.43,6,6,1,0,3,3,6,2,0,2,2,31,26.4,"Michael Jordan","Regular Season"
59,"1997-03-05","CHI","","SAS","W",1,"23:00",7,17,0.41,1,4,0.25,1,2,0.5,1,1,2,4,2,0,0,1,16,11.9,"Michael Jordan","Regular Season"
60,"1997-03-07","CHI","","IND","W",1,"44:00",11,21,0.52,1,3,0.33,15,17,0.88,1,3,4,5,2,1,4,3,38,29.5,"Michael Jordan","Regular Season"
61,"1997-03-09","CHI","@","NYK","L",1,"46:00",14,31,0.45,0,3,0,8,9,0.89,2,4,6,4,1,0,1,2,36,24.1,"Michael Jordan","Regular Season"
62,"1997-03-11","CHI","@","BOS","W",1,"43:00",13,23,0.57,1,3,0.33,5,6,0.83,0,4,4,9,3,0,2,2,32,28.4,"Michael Jordan","Regular Season"
63,"1997-03-12","CHI","@","PHI","W",1,"37:00",9,24,0.38,1,4,0.25,4,5,0.8,0,5,5,3,2,1,4,2,23,10.9,"Michael Jordan","Regular Season"
64,"1997-03-14","CHI","@","NJN","L",1,"39:00",16,34,0.47,1,3,0.33,3,5,0.6,2,6,8,5,0,1,1,1,36,23.8,"Michael Jordan","Regular Season"
65,"1997-03-15","CHI","","ATL","W",1,"29:00",5,11,0.45,0,1,0,0,0,NA,1,3,4,3,1,2,3,1,10,NA,"Michael Jordan","Regular Season"
66,"1997-03-18","CHI","","SEA","W",1,"50:00",10,28,0.36,0,4,0,12,13,0.92,8,10,18,2,0,0,8,3,32,16.8,"Michael Jordan","Regular Season"
67,"1997-03-21","CHI","@","IND","W",1,"40:00",11,25,0.44,1,3,0.33,13,14,0.93,4,2,6,4,2,1,2,0,36,29.4,"Michael Jordan","Regular Season"
68,"1997-03-22","CHI","","DET","W",1,"35:00",8,20,0.4,3,6,0.5,4,4,1,2,3,5,7,2,1,0,3,23,20.9,"Michael Jordan","Regular Season"
69,"1997-03-25","CHI","","DAL","W",1,"36:00",9,20,0.45,0,1,0,2,2,1,0,1,1,3,3,0,2,3,20,11.8,"Michael Jordan","Regular Season"
70,"1997-03-27","CHI","@","TOR","W",1,"41:00",5,17,0.29,0,0,NA,2,3,0.67,3,7,10,4,0,2,6,2,12,3.3,"Michael Jordan","Regular Season"
71,"1997-03-29","CHI","","NJN","W",1,"39:00",9,21,0.43,1,2,0.5,2,3,0.67,2,4,6,10,0,2,0,3,21,19.3,"Michael Jordan","Regular Season"
72,"1997-04-01","CHI","","BOS","W",1,"27:00",8,11,0.73,0,0,NA,5,9,0.56,0,8,8,2,2,0,2,1,21,18.3,"Michael Jordan","Regular Season"
73,"1997-04-03","CHI","@","WSB","L",1,"39:00",14,30,0.47,1,4,0.25,5,6,0.83,0,1,1,6,2,1,2,2,34,22.6,"Michael Jordan","Regular Season"
74,"1997-04-04","CHI","","CLE","W",1,"38:00",9,16,0.56,0,1,0,4,5,0.8,1,4,5,3,1,2,0,2,22,19.6,"Michael Jordan","Regular Season"
75,"1997-04-06","CHI","@","ORL","W",1,"40:00",13,22,0.59,3,6,0.5,8,9,0.89,2,6,8,5,3,1,4,3,37,31.6,"Michael Jordan","Regular Season"
76,"1997-04-07","CHI","","PHI","W",1,"30:00",13,25,0.52,3,4,0.75,1,2,0.5,3,5,8,2,3,2,2,1,30,24.3,"Michael Jordan","Regular Season"
77,"1997-04-09","CHI","@","IND","W",1,"41:00",8,19,0.42,0,3,0,7,8,0.88,0,3,3,2,5,0,6,2,23,NA,"Michael Jordan","Regular Season"
78,"1997-04-10","CHI","@","NYK","W",1,"44:00",12,26,0.46,1,3,0.33,9,10,0.9,1,7,8,6,1,1,3,3,34,24.7,"Michael Jordan","Regular Season"
79,"1997-04-13","CHI","@","DET","L",1,"38:00",7,16,0.44,0,3,0,4,4,1,1,8,9,7,0,0,4,1,18,13.2,"Michael Jordan","Regular Season"
80,"1997-04-14","CHI","","TOR","W",1,"35:00",12,24,0.5,4,7,0.57,2,2,1,2,9,11,10,3,1,2,2,30,NA,"Michael Jordan","Regular Season"
81,"1997-04-16","CHI","@","MIA","L",1,"39:00",11,27,0.41,2,5,0.4,2,4,0.5,1,7,8,3,0,1,3,5,26,11.3,"Michael Jordan","Regular Season"
82,"1997-04-19","CHI","","NYK","L",1,"39:00",14,22,0.64,1,1,1,4,8,0.5,0,3,3,3,2,0,4,4,33,NA,"Michael Jordan","Regular Season"
1,"1997-10-31","CHI","@","BOS","L",1,"42:00",7,23,0.3,0,0,NA,16,21,0.76,1,5,6,4,2,1,3,2,30,18.6,"Michael Jordan","Regular Season"
2,"1997-11-01","CHI","","PHI","W",1,"24:00",7,14,0.5,0,0,NA,2,2,1,1,6,7,2,2,0,3,3,16,10.7,"Michael Jordan","Regular Season"
3,"1997-11-03","CHI","","SAS","W",1,"48:00",12,39,0.31,1,4,0.25,4,6,0.67,4,9,13,4,5,2,3,0,29,17.4,"Michael Jordan","Regular Season"
4,"1997-11-05","CHI","","ORL","W",1,"41:00",11,25,0.44,0,3,0,7,9,0.78,4,13,17,4,0,0,0,2,29,23.8,"Michael Jordan","Regular Season"
5,"1997-11-07","CHI","@","ATL","L",1,"40:00",11,25,0.44,0,1,0,5,7,0.71,1,8,9,6,1,0,2,1,27,NA,"Michael Jordan","Regular Season"
6,"1997-11-08","CHI","","NJN","W",1,"33:00",5,13,0.38,0,1,0,5,8,0.62,1,4,5,2,2,0,2,3,15,8.8,"Michael Jordan","Regular Season"
7,"1997-11-11","CHI","@","CLE","L",1,"34:00",7,17,0.41,0,1,0,5,7,0.71,2,4,6,1,1,0,3,1,19,NA,"Michael Jordan","Regular Season"
8,"1997-11-12","CHI","","WAS","L",1,"40:00",10,28,0.36,0,2,0,8,12,0.67,2,5,7,3,4,2,5,1,28,15.8,"Michael Jordan","Regular Season"
9,"1997-11-14","CHI","","CHH","W",1,"38:00",12,24,0.5,2,2,1,2,2,1,1,3,4,7,1,1,2,0,28,22.2,"Michael Jordan","Regular Season"
10,"1997-11-15","CHI","","CLE","W",1,"39:00",11,26,0.42,1,1,1,4,7,0.57,0,2,2,4,2,0,5,2,27,11.6,"Michael Jordan","Regular Season"
11,"1997-11-20","CHI","@","PHO","L",1,"41:00",13,27,0.48,0,1,0,4,6,0.67,1,5,6,3,1,0,3,0,30,17.8,"Michael Jordan","Regular Season"
12,"1997-11-21","CHI","@","LAC","W",1,"52:00",18,38,0.47,0,2,0,13,19,0.68,2,3,5,5,1,1,4,3,49,29.5,"Michael Jordan","Regular Season"
13,"1997-11-23","CHI","@","SAC","W",1,"41:00",11,19,0.58,0,0,NA,11,12,0.92,1,2,3,5,2,1,2,1,33,28.8,"Michael Jordan","Regular Season"
14,"1997-11-25","CHI","@","SEA","L",1,"38:00",11,25,0.44,0,2,0,4,6,0.67,2,4,6,5,5,0,3,1,26,19.8,"Michael Jordan","Regular Season"
15,"1997-11-28","CHI","@","IND","L",1,"42:00",11,26,0.42,0,2,0,4,8,0.5,1,6,7,2,2,0,1,3,26,14.3,"Michael Jordan","Regular Season"
16,"1997-11-29","CHI","@","WAS","W",1,"37:00",10,21,0.48,1,1,1,8,12,0.67,0,4,4,3,2,0,2,3,29,18.8,"Michael Jordan","Regular Season"
17,"1997-12-03","CHI","@","BOS","W",1,"40:00",11,21,0.52,1,3,0.33,6,8,0.75,4,5,9,5,2,1,7,2,29,20.6,"Michael Jordan","Regular Season"
18,"1997-12-05","CHI","","MIL","W",1,"35:00",4,16,0.25,0,3,0,5,6,0.83,3,6,9,2,1,0,1,3,13,7.1,"Michael Jordan","Regular Season"
19,"1997-12-09","CHI","","NYK","W",1,"37:00",10,23,0.43,0,0,NA,9,9,1,1,3,4,4,1,0,4,4,29,16.7,"Michael Jordan","Regular Season"
20,"1997-12-10","CHI","@","ORL","L",1,"37:00",6,17,0.35,0,1,0,13,13,1,1,1,2,5,1,0,3,3,25,16.8,"Michael Jordan","Regular Season"
21,"1997-12-12","CHI","@","CHH","L",1,"41:00",12,24,0.5,0,0,NA,4,6,0.67,3,6,9,5,0,0,4,2,28,17.8,"Michael Jordan","Regular Season"
22,"1997-12-13","CHI","","TOR","W",1,"27:00",4,16,0.25,0,0,NA,3,4,0.75,3,3,6,2,2,0,0,0,11,7.4,"Michael Jordan","Regular Season"
23,"1997-12-15","CHI","","PHO","W",1,"36:00",10,23,0.43,0,1,0,11,12,0.92,3,6,9,4,4,1,2,2,31,27.1,"Michael Jordan","Regular Season"
24,"1997-12-17","CHI","","LAL","W",1,"35:00",12,22,0.55,1,2,0.5,11,12,0.92,2,3,5,4,1,1,4,4,36,26.2,"Michael Jordan","Regular Season"
25,"1997-12-20","CHI","@","NJN","W",1,"42:00",10,23,0.43,0,0,NA,4,5,0.8,3,2,5,3,0,2,2,2,24,14.9,"Michael Jordan","Regular Season"
26,"1997-12-23","CHI","","LAC","W",1,"40:00",9,24,0.38,0,1,0,9,12,0.75,7,5,12,4,0,1,2,0,27,20.5,"Michael Jordan","Regular Season"
27,"1997-12-25","CHI","","MIA","W",1,"38:00",8,20,0.4,0,1,0,8,12,0.67,4,7,11,4,2,0,3,0,24,18.3,"Michael Jordan","Regular Season"
28,"1997-12-27","CHI","","ATL","W",1,"36:00",18,26,0.69,0,0,NA,11,13,0.85,2,2,4,2,3,1,4,2,47,NA,"Michael Jordan","Regular Season"
29,"1997-12-29","CHI","","DAL","W",1,"41:00",16,29,0.55,0,1,0,9,11,0.82,1,6,7,0,0,2,2,1,41,27.8,"Michael Jordan","Regular Season"
30,"1997-12-30","CHI","@","MIN","L",1,"39:00",11,28,0.39,1,3,0.33,10,13,0.77,0,4,4,1,0,0,3,1,33,15.1,"Michael Jordan","Regular Season"
31,"1998-01-02","CHI","","MIL","W",1,"43:00",15,22,0.68,1,1,1,13,15,0.87,1,4,5,1,2,0,0,1,44,NA,"Michael Jordan","Regular Season"
32,"1998-01-03","CHI","@","DET","W",1,"47:00",12,25,0.48,0,1,0,10,11,0.91,0,9,9,9,1,2,4,2,34,27.5,"Michael Jordan","Regular Season"
33,"1998-01-06","CHI","","BOS","W",1,"41:00",5,13,0.38,0,1,0,9,12,0.75,1,2,3,4,3,0,3,0,19,14.8,"Michael Jordan","Regular Season"
34,"1998-01-07","CHI","@","MIA","L",1,"37:00",12,27,0.44,1,2,0.5,1,3,0.33,2,2,4,1,1,0,1,0,26,13.8,"Michael Jordan","Regular Season"
35,"1998-01-09","CHI","@","NYK","W",1,"41:00",17,33,0.52,1,4,0.25,9,10,0.9,1,3,4,2,3,1,1,3,44,31.8,"Michael Jordan","Regular Season"
36,"1998-01-10","CHI","","GSW","W",1,"38:00",13,31,0.42,0,1,0,6,10,0.6,4,2,6,3,0,0,1,0,32,18.4,"Michael Jordan","Regular Season"
37,"1998-01-13","CHI","","SEA","W",1,"38:00",12,27,0.44,0,2,0,16,18,0.89,1,0,1,2,0,0,1,5,40,24.2,"Michael Jordan","Regular Season"
38,"1998-01-15","CHI","@","PHI","L",1,"38:00",9,23,0.39,0,1,0,2,4,0.5,2,7,9,4,2,0,4,1,20,10.6,"Michael Jordan","Regular Season"
39,"1998-01-16","CHI","@","MIL","W",1,"40:00",10,20,0.5,1,1,1,6,7,0.86,0,8,8,2,1,1,3,3,27,17.9,"Michael Jordan","Regular Season"
40,"1998-01-18","CHI","","HOU","W",1,"41:00",16,29,0.55,2,2,1,11,12,0.92,0,3,3,3,3,1,4,2,45,32.6,"Michael Jordan","Regular Season"
41,"1998-01-21","CHI","","CHH","W",1,"31:00",14,23,0.61,1,3,0.33,4,4,1,1,4,5,6,3,1,1,2,33,30.5,"Michael Jordan","Regular Season"
42,"1998-01-23","CHI","@","NJN","W",1,"44:00",10,23,0.43,0,1,0,12,13,0.92,0,5,5,1,1,1,4,2,32,18.6,"Michael Jordan","Regular Season"
43,"1998-01-25","CHI","","UTA","L",1,"44:00",13,26,0.5,0,4,0,6,7,0.86,3,2,5,7,2,0,3,4,32,23.6,"Michael Jordan","Regular Season"
44,"1998-01-27","CHI","@","VAN","W",1,"32:00",7,15,0.47,0,0,NA,6,6,1,0,0,0,3,1,1,1,0,20,15.1,"Michael Jordan","Regular Season"
45,"1998-01-29","CHI","@","POR","W",1,"39:00",11,24,0.46,0,1,0,7,7,1,1,4,5,4,1,0,0,1,29,21.9,"Michael Jordan","Regular Season"
46,"1998-01-30","CHI","@","GSW","W",1,"41:00",2,17,0.12,0,0,NA,10,11,0.91,3,5,8,3,3,1,2,0,14,9.9,"Michael Jordan","Regular Season"
47,"1998-02-01","CHI","@","LAL","L",1,"37:00",11,26,0.42,0,1,0,9,12,0.75,0,5,5,2,1,0,1,0,31,18.9,"Michael Jordan","Regular Season"
48,"1998-02-02","CHI","@","DEN","W",1,"33:00",6,12,0.5,0,0,NA,3,4,0.75,1,5,6,3,1,0,0,1,15,13.5,"Michael Jordan","Regular Season"
49,"1998-02-04","CHI","@","UTA","L",1,"43:00",17,37,0.46,1,5,0.2,5,6,0.83,2,5,7,3,2,1,1,2,40,26.4,"Michael Jordan","Regular Season"
50,"1998-02-10","CHI","","TOR","W",1,"34:00",8,21,0.38,0,3,0,2,5,0.4,2,3,5,1,2,0,2,1,18,7.9,"Michael Jordan","Regular Season"
51,"1998-02-11","CHI","@","CHH","W",1,"41:00",11,22,0.5,0,0,NA,7,9,0.78,1,3,4,6,0,0,1,2,29,21.2,"Michael Jordan","Regular Season"
52,"1998-02-13","CHI","","ATL","W",1,"36:00",14,22,0.64,0,1,0,9,12,0.75,3,4,7,1,1,0,2,0,37,NA,"Michael Jordan","Regular Season"
53,"1998-02-15","CHI","","DET","W",1,"41:00",7,17,0.41,0,1,0,7,8,0.88,1,11,12,5,3,0,3,3,21,17.8,"Michael Jordan","Regular Season"
54,"1998-02-17","CHI","","IND","W",1,"39:00",13,23,0.57,0,2,0,1,3,0.33,2,2,4,6,1,1,2,4,27,19.6,"Michael Jordan","Regular Season"
55,"1998-02-19","CHI","@","TOR","W",1,"28:00",5,9,0.56,1,2,0.5,5,6,0.83,0,4,4,5,0,0,1,2,16,14.2,"Michael Jordan","Regular Season"
56,"1998-02-21","CHI","@","WAS","W",1,"42:00",8,23,0.35,0,0,NA,3,5,0.6,3,5,8,3,1,2,1,3,19,11.2,"Michael Jordan","Regular Season"
57,"1998-02-23","CHI","","CLE","W",1,"29:00",7,14,0.5,0,1,0,3,4,0.75,2,5,7,6,0,1,2,3,17,14.2,"Michael Jordan","Regular Season"
58,"1998-02-25","CHI","","POR","L",1,"42:00",9,26,0.35,0,2,0,15,17,0.88,1,3,4,3,4,1,3,2,33,22.2,"Michael Jordan","Regular Season"
59,"1998-02-28","CHI","","SAC","W",1,"39:00",10,17,0.59,0,1,0,8,9,0.89,1,1,2,2,0,0,2,1,28,19.7,"Michael Jordan","Regular Season"
60,"1998-03-03","CHI","","DEN","W",1,"40:00",12,19,0.63,0,0,NA,6,6,1,0,7,7,2,2,0,2,1,30,24.6,"Michael Jordan","Regular Season"
61,"1998-03-08","CHI","@","NYK","W",1,"43:00",17,33,0.52,1,2,0.5,7,9,0.78,3,5,8,6,3,1,2,1,42,NA,"Michael Jordan","Regular Season"
62,"1998-03-10","CHI","","MIA","W",1,"39:00",17,30,0.57,1,2,0.5,2,2,1,0,4,4,4,1,1,1,2,37,26.7,"Michael Jordan","Regular Season"
63,"1998-03-12","CHI","@","DAL","L",1,"47:00",10,24,0.42,1,3,0.33,5,11,0.45,4,3,7,3,1,1,1,4,26,15.7,"Michael Jordan","Regular Season"
64,"1998-03-14","CHI","@","SAS","W",1,"42:00",12,22,0.55,0,0,NA,6,7,0.86,2,3,5,3,2,1,3,2,30,22.3,"Michael Jordan","Regular Season"
65,"1998-03-16","CHI","","NJN","W",1,"33:00",6,15,0.4,0,1,0,5,8,0.62,2,5,7,1,1,0,4,1,17,7.9,"Michael Jordan","Regular Season"
66,"1998-03-17","CHI","@","IND","W",1,"42:00",14,28,0.5,1,3,0.33,6,9,0.67,1,3,4,2,1,0,2,1,35,21.4,"Michael Jordan","Regular Season"
67,"1998-03-20","CHI","","VAN","W",1,"39:00",8,13,0.62,1,2,0.5,7,10,0.7,0,4,4,3,0,1,3,1,24,17.5,"Michael Jordan","Regular Season"
68,"1998-03-22","CHI","@","TOR","W",1,"41:00",13,28,0.46,0,2,0,7,7,1,0,4,4,3,5,3,2,3,33,25.8,"Michael Jordan","Regular Season"
69,"1998-03-23","CHI","","BOS","W",1,"36:00",11,22,0.5,0,1,0,2,2,1,1,6,7,2,2,1,2,1,24,17.2,"Michael Jordan","Regular Season"
70,"1998-03-25","CHI","@","ORL","W",1,"38:00",8,21,0.38,1,3,0.33,0,1,0,2,5,7,8,5,0,0,2,17,17.8,"Michael Jordan","Regular Season"
71,"1998-03-27","CHI","@","ATL","W",1,"43:00",13,26,0.5,0,0,NA,8,12,0.67,1,4,5,4,0,1,2,3,34,21.6,"Michael Jordan","Regular Season"
72,"1998-03-29","CHI","@","MIL","W",1,"35:00",13,24,0.54,0,1,0,4,5,0.8,1,1,2,0,2,0,0,3,30,19.8,"Michael Jordan","Regular Season"
73,"1998-03-31","CHI","","DET","W",1,"47:00",11,26,0.42,0,2,0,4,4,1,1,2,3,8,4,2,4,5,26,18.5,"Michael Jordan","Regular Season"
74,"1998-04-03","CHI","","MIN","W",1,"38:00",16,25,0.64,2,6,0.33,7,8,0.88,3,3,6,4,1,0,0,1,41,35.9,"Michael Jordan","Regular Season"
75,"1998-04-05","CHI","@","HOU","W",1,"37:00",18,31,0.58,0,0,NA,4,4,1,2,2,4,3,3,0,2,3,40,29.4,"Michael Jordan","Regular Season"
76,"1998-04-07","CHI","","WAS","W",1,"33:00",11,21,0.52,1,2,0.5,7,8,0.88,1,3,4,3,1,1,2,0,30,22.7,"Michael Jordan","Regular Season"
77,"1998-04-09","CHI","@","CLE","L",1,"37:00",10,24,0.42,0,2,0,9,12,0.75,0,6,6,4,0,0,4,3,29,14.4,"Michael Jordan","Regular Season"
78,"1998-04-11","CHI","","ORL","W",1,"35:00",15,25,0.6,3,5,0.6,4,10,0.4,1,3,4,2,4,0,0,2,37,29.3,"Michael Jordan","Regular Season"
79,"1998-04-13","CHI","","IND","L",1,"41:00",7,19,0.37,1,1,1,12,14,0.86,0,4,4,3,3,0,4,0,27,NA,"Michael Jordan","Regular Season"
80,"1998-04-15","CHI","@","DET","L",1,"43:00",7,25,0.28,0,3,0,5,10,0.5,4,2,6,4,1,0,2,4,19,5.9,"Michael Jordan","Regular Season"
81,"1998-04-17","CHI","@","PHI","W",1,"39:00",9,19,0.47,0,2,0,6,8,0.75,1,5,6,2,5,0,4,5,24,16.1,"Michael Jordan","Regular Season"
82,"1998-04-18","CHI","","NYK","W",1,"40:00",11,24,0.46,0,0,NA,22,24,0.92,0,3,3,3,1,0,1,1,44,33.4,"Michael Jordan","Regular Season"
1,"2001-10-30","WAS","@","NYK","L",1,"37:00",7,21,0.33,0,3,0,5,6,0.83,3,2,5,6,4,0,3,3,19,13.4,"Michael Jordan","Regular Season"
2,"2001-11-01","WAS","@","ATL","W",1,"40:00",13,30,0.43,0,3,0,5,6,0.83,0,6,6,6,2,0,1,2,31,NA,"Michael Jordan","Regular Season"
3,"2001-11-03","WAS","","PHI","W",1,"38:00",7,21,0.33,0,0,NA,6,9,0.67,2,4,6,9,2,1,2,1,20,16.1,"Michael Jordan","Regular Season"
4,"2001-11-04","WAS","@","DET","L",1,"22:00",8,18,0.44,0,0,NA,3,3,1,0,8,8,2,1,0,1,1,19,NA,"Michael Jordan","Regular Season"
5,"2001-11-07","WAS","@","BOS","L",1,"41:00",12,26,0.46,0,1,0,8,10,0.8,2,6,8,2,2,0,5,2,32,18.6,"Michael Jordan","Regular Season"
6,"2001-11-09","WAS","","GSW","L",1,"38:00",13,30,0.43,0,1,0,6,8,0.75,0,3,3,3,3,0,3,3,32,17.2,"Michael Jordan","Regular Season"
7,"2001-11-11","WAS","","SEA","L",1,"39:00",5,26,0.19,0,1,0,6,6,1,3,9,12,4,1,2,1,4,16,7.2,"Michael Jordan","Regular Season"
8,"2001-11-14","WAS","","MIL","L",1,"41:00",12,24,0.5,0,1,0,7,8,0.88,1,3,4,3,2,1,3,3,31,20.8,"Michael Jordan","Regular Season"
9,"2001-11-16","WAS","","UTA","L",1,"41:00",17,33,0.52,1,2,0.5,9,11,0.82,3,4,7,3,1,0,0,0,44,33.3,"Michael Jordan","Regular Season"
10,"2001-11-20","WAS","","CHH","L",1,"41:00",13,23,0.57,1,2,0.5,3,4,0.75,0,4,4,6,2,0,5,4,30,19.5,"Michael Jordan","Regular Season"
11,"2001-11-22","WAS","@","IND","L",1,"40:00",8,26,0.31,0,1,0,5,5,1,0,5,5,6,2,1,3,1,21,NA,"Michael Jordan","Regular Season"
12,"2001-11-24","WAS","","BOS","W",1,"45:00",7,24,0.29,0,1,0,3,3,1,1,10,11,6,1,0,2,3,17,8.7,"Michael Jordan","Regular Season"
13,"2001-11-27","WAS","@","CLE","L",1,"31:00",9,24,0.38,0,0,NA,0,0,NA,1,3,4,5,1,0,0,2,18,10.1,"Michael Jordan","Regular Season"
14,"2001-11-28","WAS","@","PHI","W",1,"38:00",11,27,0.41,0,1,0,8,10,0.8,0,6,6,7,5,1,1,2,30,25.3,"Michael Jordan","Regular Season"
15,"2001-11-30","WAS","@","MIA","W",1,"38:00",10,20,0.5,0,1,0,2,3,0.67,1,6,7,5,0,0,2,2,22,14.8,"Michael Jordan","Regular Season"
16,"2001-12-01","WAS","","ORL","L",1,"33:00",6,19,0.32,0,0,NA,3,3,1,0,7,7,7,0,2,2,4,15,8.9,"Michael Jordan","Regular Season"
17,"2001-12-06","WAS","@","HOU","W",1,"33:00",9,23,0.39,0,0,NA,0,0,NA,0,6,6,7,0,0,4,2,18,7.4,"Michael Jordan","Regular Season"
18,"2001-12-08","WAS","@","DAL","W",1,"35:00",7,21,0.33,0,1,0,7,9,0.78,2,10,12,4,4,0,1,3,21,17.3,"Michael Jordan","Regular Season"
19,"2001-12-11","WAS","@","MEM","W",1,"31:00",8,19,0.42,0,1,0,0,0,NA,0,6,6,9,0,0,0,2,16,13.2,"Michael Jordan","Regular Season"
20,"2001-12-12","WAS","","MIA","W",1,"34:00",9,23,0.39,0,1,0,7,11,0.64,0,6,6,7,1,1,1,0,25,18.3,"Michael Jordan","Regular Season"
21,"2001-12-14","WAS","","NYK","W",1,"34:00",8,19,0.42,0,1,0,3,3,1,0,6,6,6,1,2,5,4,19,10.7,"Michael Jordan","Regular Season"
22,"2001-12-16","WAS","@","TOR","W",1,"36:00",8,21,0.38,0,0,NA,5,6,0.83,2,2,4,3,3,0,4,3,21,NA,"Michael Jordan","Regular Season"
23,"2001-12-19","WAS","","ATL","W",1,"27:00",11,19,0.58,0,1,0,1,1,1,1,3,4,6,1,1,2,2,23,18.8,"Michael Jordan","Regular Season"
24,"2001-12-21","WAS","@","ORL","W",1,"34:00",3,16,0.19,0,0,NA,6,6,1,3,3,6,8,1,0,3,1,12,8.2,"Michael Jordan","Regular Season"
25,"2001-12-22","WAS","@","NYK","W",1,"36:00",11,22,0.5,0,0,NA,4,7,0.57,0,1,1,3,1,0,4,2,26,12.4,"Michael Jordan","Regular Season"
