"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
28,"1995-12-30","CHI","","ATL","W",1,"42:00",14,27,0.52,1,2,0.5,4,6,0.67,2,5,7,6,4,1,5,3,33,24.5,"Michael Jordan","Regular Season"
29,"1996-01-03","CHI","","HOU","W",1,"40:00",17,29,0.59,1,1,1,3,4,0.75,3,5,8,5,3,0,1,3,38,NA,"Michael Jordan","Regular Season"
30,"1996-01-04","CHI","@","CHH","W",1,"34:00",11,20,0.55,0,1,0,5,7,0.71,1,4,5,5,1,0,1,1,27,21.6,"Michael Jordan","Regular Season"
31,"1996-01-06","CHI","","MIL","W",1,"37:00",10,20,0.5,2,4,0.5,10,12,0.83,1,1,2,3,3,1,0,2,32,27.2,"Michael Jordan","Regular Season"
32,"1996-01-10","CHI","","SEA","W",1,"36:00",14,25,0.56,1,2,0.5,6,7,0.86,1,13,14,5,0,1,4,2,35,26.7,"Michael Jordan","Regular Season"
33,"1996-01-13","CHI","@","PHI","W",1,"34:00",18,28,0.64,5,7,0.71,7,7,1,3,7,10,2,1,1,2,1,48,40.5,"Michael Jordan","Regular Season"
34,"1996-01-15","CHI","@","WSB","W",1,"39:00",16,31,0.52,3,7,0.43,11,11,1,0,4,4,2,1,0,5,5,46,27.3,"Michael Jordan","Regular Season"
35,"1996-01-16","CHI","","PHI","W",1,"32:00",13,22,0.59,2,6,0.33,4,6,0.67,3,4,7,2,3,0,1,1,32,27.3,"Michael Jordan","Regular Season"
36,"1996-01-18","CHI","@","TOR","W",1,"43:00",14,28,0.5,4,8,0.5,6,8,0.75,4,5,9,2,1,0,1,0,38,28.9,"Michael Jordan","Regular Season"
37,"1996-01-21","CHI","@","DET","W",1,"43:00",12,23,0.52,3,5,0.6,9,11,0.82,3,5,8,4,2,1,3,1,36,29.6,"Michael Jordan","Regular Season"
38,"1996-01-23","CHI","@","NYK","W",1,"36:00",13,23,0.57,3,4,0.75,4,5,0.8,1,5,6,4,3,0,2,1,33,27.3,"Michael Jordan","Regular Season"
39,"1996-01-24","CHI","","VAN","W",1,"26:00",4,10,0.4,0,1,0,4,6,0.67,1,2,3,6,0,0,1,4,12,8.7,"Michael Jordan","Regular Season"
40,"1996-01-26","CHI","","MIA","W",1,"35:00",10,21,0.48,1,3,0.33,4,5,0.8,4,5,9,4,3,2,8,4,25,15.8,"Michael Jordan","Regular Season"
41,"1996-01-28","CHI","","PHO","W",1,"42:00",13,25,0.52,0,2,0,5,7,0.71,3,3,6,6,3,1,2,5,31,24.8,"Michael Jordan","Regular Season"
42,"1996-01-30","CHI","@","HOU","W",1,"43:00",7,26,0.27,1,6,0.17,7,8,0.88,3,5,8,1,4,0,2,3,22,11.3,"Michael Jordan","Regular Season"
43,"1996-02-01","CHI","@","SAC","W",1,"38:00",7,16,0.44,0,1,0,13,14,0.93,0,2,2,1,2,1,4,4,27,16.6,"Michael Jordan","Regular Season"
44,"1996-02-02","CHI","@","LAL","W",1,"39:00",8,17,0.47,0,0,NA,1,1,1,3,4,7,7,1,0,3,2,17,13.7,"Michael Jordan","Regular Season"
45,"1996-02-04","CHI","@","DEN","L",1,"42:00",13,29,0.45,4,7,0.57,9,11,0.82,0,3,3,4,3,1,4,1,39,26.1,"Michael Jordan","Regular Season"
46,"1996-02-06","CHI","@","PHO","L",1,"40:00",9,22,0.41,0,2,0,10,17,0.59,2,0,2,6,3,0,3,5,28,NA,"Michael Jordan","Regular Season"
47,"1996-02-07","CHI","@","GSW","W",1,"46:00",15,31,0.48,0,0,NA,10,13,0.77,6,5,11,6,3,2,2,3,40,34.2,"Michael Jordan","Regular Season"
48,"1996-02-13","CHI","","WSB","W",1,"36:00",11,23,0.48,2,3,0.67,8,10,0.8,2,7,9,3,0,0,4,2,32,20.3,"Michael Jordan","Regular Season"
49,"1996-02-15","CHI","@","DET","W",1,"49:00",10,30,0.33,0,1,0,12,12,1,2,6,8,5,3,0,1,2,32,22.9,"Michael Jordan","Regular Season"
50,"1996-02-16","CHI","@","MIN","W",1,"38:00",13,23,0.57,4,4,1,5,5,1,1,6,7,4,0,1,2,1,35,27.7,"Michael Jordan","Regular Season"
51,"1996-02-18","CHI","@","IND","W",1,"42:00",16,29,0.55,3,4,0.75,9,10,0.9,4,1,5,7,3,2,3,2,44,38.3,"Michael Jordan","Regular Season"
52,"1996-02-20","CHI","","CLE","W",1,"35:00",6,19,0.32,0,0,NA,2,3,0.67,3,6,9,6,0,0,0,3,14,9.6,"Michael Jordan","Regular Season"
53,"1996-02-22","CHI","@","ATL","W",1,"43:00",15,26,0.58,2,2,1,2,2,1,1,2,3,3,0,1,2,0,34,23.9,"Michael Jordan","Regular Season"
54,"1996-02-23","CHI","@","MIA","L",1,"40:00",9,21,0.43,1,4,0.25,12,13,0.92,3,6,9,5,4,0,3,4,31,26.3,"Michael Jordan","Regular Season"
55,"1996-02-25","CHI","","ORL","W",1,"40:00",8,19,0.42,1,1,1,6,8,0.75,2,3,5,7,2,0,1,2,23,19.5,"Michael Jordan","Regular Season"
56,"1996-02-27","CHI","","MIN","W",1,"41:00",11,24,0.46,2,3,0.67,11,12,0.92,2,4,6,7,2,0,1,2,35,29.9,"Michael Jordan","Regular Season"
57,"1996-03-01","CHI","","GSW","W",1,"35:00",7,17,0.41,1,3,0.33,2,3,0.67,0,3,3,6,6,0,3,1,17,15.2,"Michael Jordan","Regular Season"
58,"1996-03-02","CHI","","BOS","W",1,"32:00",8,15,0.53,0,2,0,5,8,0.62,3,5,8,8,4,1,1,0,21,25.4,"Michael Jordan","Regular Season"
59,"1996-03-05","CHI","","MIL","W",1,"32:00",12,20,0.6,4,5,0.8,5,6,0.83,4,4,8,4,2,0,3,0,33,29.2,"Michael Jordan","Regular Season"
60,"1996-03-07","CHI","","DET","W",1,"38:00",21,28,0.75,2,4,0.5,9,10,0.9,2,9,11,2,6,0,4,3,53,NA,"Michael Jordan","Regular Season"
61,"1996-03-10","CHI","@","NYK","L",1,"43:00",12,26,0.46,2,4,0.5,6,7,0.86,1,7,8,3,1,1,7,3,32,16.6,"Michael Jordan","Regular Season"
62,"1996-03-13","CHI","","WSB","W",1,"36:00",12,25,0.48,2,6,0.33,11,12,0.92,0,6,6,5,1,0,3,2,37,26.4,"Michael Jordan","Regular Season"
63,"1996-03-15","CHI","","DEN","W",1,"36:00",14,22,0.64,3,5,0.6,2,3,0.67,0,6,6,3,3,2,3,2,33,27.3,"Michael Jordan","Regular Season"
64,"1996-03-16","CHI","@","NJN","W",1,"43:00",14,29,0.48,2,5,0.4,7,7,1,2,14,16,5,1,3,0,4,37,32.9,"Michael Jordan","Regular Season"
65,"1996-03-18","CHI","@","PHI","W",1,"47:00",15,32,0.47,0,5,0,8,10,0.8,2,9,11,4,1,0,2,5,38,24.7,"Michael Jordan","Regular Season"
66,"1996-03-19","CHI","","SAC","W",1,"35:00",7,16,0.44,0,3,0,6,6,1,2,7,9,3,2,0,6,3,20,NA,"Michael Jordan","Regular Season"
67,"1996-03-21","CHI","","NYK","W",1,"37:00",14,24,0.58,1,4,0.25,7,7,1,0,11,11,5,1,0,1,3,36,30.4,"Michael Jordan","Regular Season"
68,"1996-03-24","CHI","@","TOR","L",1,"39:00",14,22,0.64,0,1,0,8,8,1,5,4,9,2,0,2,2,3,36,30.5,"Michael Jordan","Regular Season"
69,"1996-03-28","CHI","","ATL","W",1,"30:00",5,12,0.42,0,1,0,3,6,0.5,0,5,5,7,1,1,0,3,13,12.3,"Michael Jordan","Regular Season"
70,"1996-03-30","CHI","","LAC","W",1,"34:00",6,15,0.4,0,1,0,9,10,0.9,4,5,9,6,2,0,1,1,21,21.6,"Michael Jordan","Regular Season"
71,"1996-04-02","CHI","@","MIA","W",1,"37:00",11,23,0.48,2,3,0.67,8,8,1,1,7,8,3,2,0,1,4,32,24.6,"Michael Jordan","Regular Season"
72,"1996-04-04","CHI","","MIA","W",1,"41:00",13,24,0.54,1,4,0.25,13,16,0.81,3,4,7,3,4,2,4,2,40,33.2,"Michael Jordan","Regular Season"
73,"1996-04-05","CHI","@","CHH","W",1,"28:00",10,16,0.62,2,2,1,2,3,0.67,0,5,5,4,3,0,3,0,24,20.7,"Michael Jordan","Regular Season"
74,"1996-04-07","CHI","@","ORL","W",1,"44:00",10,30,0.33,2,4,0.5,5,5,1,1,2,3,1,2,0,1,2,27,12.2,"Michael Jordan","Regular Season"
75,"1996-04-08","CHI","","CHH","L",1,"42:00",13,27,0.48,1,3,0.33,13,19,0.68,4,7,11,5,1,0,1,2,40,31.5,"Michael Jordan","Regular Season"
76,"1996-04-11","CHI","@","NJN","W",1,"26:00",8,18,0.44,0,1,0,1,4,0.25,3,4,7,3,3,0,3,0,17,11.8,"Michael Jordan","Regular Season"
77,"1996-04-12","CHI","","PHI","W",1,"29:00",10,16,0.62,2,4,0.5,1,1,1,2,1,3,0,4,1,2,2,23,19.4,"Michael Jordan","Regular Season"
78,"1996-04-14","CHI","@","CLE","W",1,"35:00",11,18,0.61,4,7,0.57,6,6,1,3,9,12,3,1,0,3,0,32,28.7,"Michael Jordan","Regular Season"
79,"1996-04-16","CHI","@","MIL","W",1,"42:00",9,27,0.33,1,4,0.25,3,4,0.75,1,8,9,4,2,1,4,1,22,10.5,"Michael Jordan","Regular Season"
80,"1996-04-18","CHI","","DET","W",1,"24:00",11,18,0.61,4,5,0.8,4,4,1,1,4,5,1,1,0,2,1,30,NA,"Michael Jordan","Regular Season"
81,"1996-04-20","CHI","","IND","L",1,"31:00",9,23,0.39,2,5,0.4,4,5,0.8,0,2,2,6,1,1,3,4,24,NA,"Michael Jordan","Regular Season"
82,"1996-04-21","CHI","@","WSB","W",1,"24:00",11,22,0.5,1,3,0.33,3,3,1,1,3,4,4,4,0,1,0,26,22.4,"Michael Jordan","Regular Season"
1,"1996-11-01","CHI","@","BOS","W",1,"43:00",10,22,0.45,0,5,0,10,13,0.77,1,3,4,3,0,0,1,2,30,19.3,"Michael Jordan","Regular Season"
2,"1996-11-02","CHI","","PHI","W",1,"30:00",11,20,0.55,3,7,0.43,2,2,1,1,1,2,5,4,0,2,2,27,23.1,"Michael Jordan","Regular Season"
3,"1996-11-05","CHI","","VAN","W",1,"31:00",9,18,0.5,3,5,0.6,1,1,1,2,5,7,3,4,0,4,2,22,17.2,"Michael Jordan","Regular Season"
4,"1996-11-06","CHI","@","MIA","W",1,"40:00",18,33,0.55,1,2,0.5,13,14,0.93,1,5,6,0,1,1,0,1,50,NA,"Michael Jordan","Regular Season"
5,"1996-11-08","CHI","@","DET","W",1,"36:00",6,14,0.43,1,3,0.33,2,2,1,1,3,4,8,1,0,0,3,15,14.6,"Michael Jordan","Regular Season"
6,"1996-11-09","CHI","","BOS","W",1,"32:00",10,23,0.43,0,2,0,7,11,0.64,2,1,3,3,1,0,0,2,27,17.3,"Michael Jordan","Regular Season"
7,"1996-11-11","CHI","","PHO","W",1,"35:00",12,21,0.57,1,1,1,1,2,0.5,1,1,2,5,1,1,3,1,26,18.5,"Michael Jordan","Regular Season"
8,"1996-11-13","CHI","","MIA","W",1,"34:00",8,23,0.35,0,1,0,12,16,0.75,1,4,5,3,1,0,0,3,28,17.3,"Michael Jordan","Regular Season"
9,"1996-11-15","CHI","@","CHH","W",1,"29:00",15,25,0.6,4,5,0.8,4,4,1,0,1,1,2,1,1,1,2,38,28.1,"Michael Jordan","Regular Season"
10,"1996-11-16","CHI","","ATL","W",1,"35:00",11,23,0.48,0,1,0,3,4,0.75,0,5,5,3,1,0,2,2,25,14.7,"Michael Jordan","Regular Season"
11,"1996-11-20","CHI","@","PHO","W",1,"35:00",16,29,0.55,0,0,NA,5,6,0.83,1,3,4,4,1,1,2,3,37,25.6,"Michael Jordan","Regular Season"
12,"1996-11-21","CHI","@","DEN","W",1,"34:00",12,23,0.52,0,2,0,7,7,1,4,3,7,3,2,1,2,2,31,25.4,"Michael Jordan","Regular Season"
13,"1996-11-23","CHI","@","UTA","L",1,"39:00",17,32,0.53,0,6,0,10,12,0.83,1,5,6,4,2,1,2,3,44,32.1,"Michael Jordan","Regular Season"
14,"1996-11-25","CHI","@","LAC","W",1,"43:00",14,26,0.54,1,3,0.33,11,12,0.92,1,6,7,2,2,4,2,3,40,32.5,"Michael Jordan","Regular Season"
15,"1996-11-29","CHI","@","DAL","W",1,"40:00",13,23,0.57,4,5,0.8,6,6,1,0,7,7,4,2,0,2,1,36,29.6,"Michael Jordan","Regular Season"
16,"1996-11-30","CHI","@","SAS","W",1,"38:00",14,35,0.4,2,5,0.4,5,5,1,0,9,9,3,0,0,1,0,35,19.9,"Michael Jordan","Regular Season"
17,"1996-12-03","CHI","@","MIL","W",1,"41:00",13,27,0.48,0,0,NA,14,17,0.82,2,4,6,6,0,0,3,1,40,28.5,"Michael Jordan","Regular Season"
